=> using ddp: False
=> device: mps
=> ddp_world_size: 1
=> compile: False, amp(bf16): False
found 995 shards for split train, using 15 (index 22..36)
data_loader: 150000000 tokens in the working set
data_loader: 1 epoch = 73242 micro batches
found 1 shards for split val, using 1 (index 0..0)
data_loader: 10000000 tokens in the working set
data_loader: 1 epoch = 4882 micro batches
data_loader: checkpoint shard edufineweb_train_000022 is outside this window (edufineweb_train_000023..edufineweb_train_000037) -- starting at edufineweb_train_000023
=> resumed from runs_small/model_013147.pt at step 13148
=> total desired batch size: 16384
=> calculated gradient accumulated steps: 8
=> training steps: 9155 (step 13148 -> 22303), lr schedule spans 22303
=> lr at start: 2.57e-04  -> end: 6.00e-05
step 13255, loss: 4.4038, norm: 1.5653, lr: 0.000253, dt: 2600.56ms, token/sec: 6300.18
step 13256, loss: 4.1758, norm: 1.4907, lr: 0.000253, dt: 2596.34ms, token/sec: 6310.41
step 13257, loss: 4.1581, norm: 1.9938, lr: 0.000253, dt: 2591.49ms, token/sec: 6322.24
step 13258, loss: 4.2229, norm: 1.7380, lr: 0.000253, dt: 2615.31ms, token/sec: 6264.66
step 13259, loss: 4.2493, norm: 1.9018, lr: 0.000253, dt: 2601.21ms, token/sec: 6298.60
step 13260, loss: 4.6356, norm: 1.9059, lr: 0.000252, dt: 2606.96ms, token/sec: 6284.70
step 13261, loss: 4.2234, norm: 1.4912, lr: 0.000252, dt: 2607.17ms, token/sec: 6284.21
step 13262, loss: 4.4261, norm: 1.4673, lr: 0.000252, dt: 2688.89ms, token/sec: 6093.22
step 13263, loss: 4.4343, norm: 1.5593, lr: 0.000252, dt: 2592.03ms, token/sec: 6320.92
step 13264, loss: 4.3349, norm: 1.7655, lr: 0.000252, dt: 2603.36ms, token/sec: 6293.40
step 13265, loss: 4.5273, norm: 2.3898, lr: 0.000252, dt: 2621.34ms, token/sec: 6250.23
step 13266, loss: 4.5917, norm: 1.6759, lr: 0.000252, dt: 2564.42ms, token/sec: 6388.97
step 13267, loss: 4.2965, norm: 1.6286, lr: 0.000252, dt: 2568.85ms, token/sec: 6377.95
step 13268, loss: 4.4112, norm: 1.4484, lr: 0.000252, dt: 2587.05ms, token/sec: 6333.09
step 13269, loss: 4.4344, norm: 1.5707, lr: 0.000252, dt: 2704.14ms, token/sec: 6058.86
step 13270, loss: 4.3760, norm: 1.5266, lr: 0.000252, dt: 2761.62ms, token/sec: 5932.75
step 13271, loss: 4.2611, norm: 1.2613, lr: 0.000252, dt: 2555.57ms, token/sec: 6411.09
step 13272, loss: 4.5834, norm: 1.4126, lr: 0.000252, dt: 2594.46ms, token/sec: 6314.99
step 13273, loss: 4.4572, norm: 1.3917, lr: 0.000252, dt: 2618.46ms, token/sec: 6257.11
step 13274, loss: 4.4734, norm: 1.4775, lr: 0.000252, dt: 2604.31ms, token/sec: 6291.12
step 13275, loss: 4.5293, norm: 1.4856, lr: 0.000252, dt: 2743.09ms, token/sec: 5972.82
step 13276, loss: 4.1655, norm: 1.4516, lr: 0.000252, dt: 2559.07ms, token/sec: 6402.33
step 13277, loss: 4.3259, norm: 1.8471, lr: 0.000252, dt: 2616.63ms, token/sec: 6261.49
step 13278, loss: 4.4675, norm: 1.4871, lr: 0.000252, dt: 2584.41ms, token/sec: 6339.54
step 13279, loss: 4.4269, norm: 1.6315, lr: 0.000252, dt: 2574.61ms, token/sec: 6363.68
step 13280, loss: 4.3573, norm: 1.2603, lr: 0.000252, dt: 2559.09ms, token/sec: 6402.27
step 13281, loss: 4.5703, norm: 2.0347, lr: 0.000252, dt: 2594.02ms, token/sec: 6316.07
step 13282, loss: 4.2167, norm: 1.2435, lr: 0.000252, dt: 2576.69ms, token/sec: 6358.54
step 13283, loss: 4.4411, norm: 1.5751, lr: 0.000252, dt: 2542.38ms, token/sec: 6444.37
step 13284, loss: 4.3887, norm: 1.5177, lr: 0.000252, dt: 2577.58ms, token/sec: 6356.35
step 13285, loss: 4.1068, norm: 1.2950, lr: 0.000252, dt: 2549.01ms, token/sec: 6427.60
step 13286, loss: 4.3737, norm: 1.4695, lr: 0.000252, dt: 2566.33ms, token/sec: 6384.20
step 13287, loss: 4.1577, norm: 1.4580, lr: 0.000251, dt: 2545.61ms, token/sec: 6436.17
step 13288, loss: 4.3163, norm: 1.3329, lr: 0.000251, dt: 2583.14ms, token/sec: 6342.67
step 13289, loss: 4.6153, norm: 1.7137, lr: 0.000251, dt: 2546.23ms, token/sec: 6434.60
step 13290, loss: 4.3396, norm: 3.8929, lr: 0.000251, dt: 2573.77ms, token/sec: 6365.75
step 13291, loss: 4.5503, norm: 2.0347, lr: 0.000251, dt: 2552.06ms, token/sec: 6419.91
step 13292, loss: 4.4811, norm: 2.2451, lr: 0.000251, dt: 2581.36ms, token/sec: 6347.05
step 13293, loss: 4.3085, norm: 1.4684, lr: 0.000251, dt: 2547.68ms, token/sec: 6430.94
step 13294, loss: 4.3814, norm: 1.6141, lr: 0.000251, dt: 2554.81ms, token/sec: 6412.99
step 13295, loss: 4.1938, norm: 1.5235, lr: 0.000251, dt: 2553.83ms, token/sec: 6415.47
step 13296, loss: 4.5215, norm: 2.2428, lr: 0.000251, dt: 2594.39ms, token/sec: 6315.16
step 13297, loss: 4.5145, norm: 1.4795, lr: 0.000251, dt: 2578.34ms, token/sec: 6354.49
step 13298, loss: 4.4304, norm: 1.4684, lr: 0.000251, dt: 2547.24ms, token/sec: 6432.06
step 13299, loss: 4.4013, norm: 1.3756, lr: 0.000251, dt: 2547.79ms, token/sec: 6430.68
step 13300, loss: 4.3566, norm: 1.8409, lr: 0.000251, dt: 2563.88ms, token/sec: 6390.30
step 13301, loss: 4.0619, norm: 1.2893, lr: 0.000251, dt: 2552.54ms, token/sec: 6418.70
step 13302, loss: 4.3195, norm: 1.4834, lr: 0.000251, dt: 2550.80ms, token/sec: 6423.09
step 13303, loss: 4.2949, norm: 1.3510, lr: 0.000251, dt: 2564.55ms, token/sec: 6388.65
step 13304, loss: 4.4468, norm: 1.4577, lr: 0.000251, dt: 2568.07ms, token/sec: 6379.88
step 13305, loss: 4.3924, norm: 1.4808, lr: 0.000251, dt: 2542.69ms, token/sec: 6443.56
step 13306, loss: 4.4501, norm: 1.5271, lr: 0.000251, dt: 2546.24ms, token/sec: 6434.58
step 13307, loss: 4.2777, norm: 1.4235, lr: 0.000251, dt: 2552.34ms, token/sec: 6419.21
step 13308, loss: 4.3435, norm: 1.4017, lr: 0.000251, dt: 2558.61ms, token/sec: 6403.48
step 13309, loss: 4.1897, norm: 1.4361, lr: 0.000251, dt: 2553.48ms, token/sec: 6416.33
step 13310, loss: 4.2178, norm: 1.8951, lr: 0.000251, dt: 2571.17ms, token/sec: 6372.19
step 13311, loss: 4.4786, norm: 1.4807, lr: 0.000251, dt: 2545.92ms, token/sec: 6435.39
step 13312, loss: 4.2367, norm: 1.6829, lr: 0.000251, dt: 2549.06ms, token/sec: 6427.47
step 13313, loss: 4.4553, norm: 1.3359, lr: 0.000251, dt: 2538.63ms, token/sec: 6453.87
step 13314, loss: 4.5560, norm: 1.3441, lr: 0.000250, dt: 2544.36ms, token/sec: 6439.34
step 13315, loss: 4.2278, norm: 1.5296, lr: 0.000250, dt: 2540.48ms, token/sec: 6449.18
step 13316, loss: 4.2173, norm: 1.4929, lr: 0.000250, dt: 2540.47ms, token/sec: 6449.19
step 13317, loss: 4.4303, norm: 1.3712, lr: 0.000250, dt: 2574.33ms, token/sec: 6364.38
step 13318, loss: 4.5271, norm: 1.8405, lr: 0.000250, dt: 2544.44ms, token/sec: 6439.14
step 13319, loss: 4.3571, norm: 1.4816, lr: 0.000250, dt: 2543.19ms, token/sec: 6442.31
step 13320, loss: 4.2917, norm: 1.4716, lr: 0.000250, dt: 2558.81ms, token/sec: 6402.97
step 13321, loss: 4.4694, norm: 1.3827, lr: 0.000250, dt: 2545.61ms, token/sec: 6436.17
step 13322, loss: 4.5725, norm: 1.3805, lr: 0.000250, dt: 2548.30ms, token/sec: 6429.38
step 13323, loss: 4.2875, norm: 1.4981, lr: 0.000250, dt: 2546.03ms, token/sec: 6435.11
step 13324, loss: 4.3431, norm: 1.4009, lr: 0.000250, dt: 2570.39ms, token/sec: 6374.13
step 13325, loss: 4.2673, norm: 1.5085, lr: 0.000250, dt: 2540.62ms, token/sec: 6448.82
step 13326, loss: 4.3465, norm: 1.3067, lr: 0.000250, dt: 2549.12ms, token/sec: 6427.32
step 13327, loss: 4.5415, norm: 1.5213, lr: 0.000250, dt: 2535.20ms, token/sec: 6462.62
step 13328, loss: 4.4863, norm: 1.4067, lr: 0.000250, dt: 2548.80ms, token/sec: 6428.11
step 13329, loss: 4.4076, norm: 1.2592, lr: 0.000250, dt: 2541.50ms, token/sec: 6446.60
step 13330, loss: 4.3285, norm: 1.3633, lr: 0.000250, dt: 2546.98ms, token/sec: 6432.72
step 13331, loss: 4.4079, norm: 1.4203, lr: 0.000250, dt: 2542.66ms, token/sec: 6443.65
step 13332, loss: 4.3921, norm: 1.8758, lr: 0.000250, dt: 2557.56ms, token/sec: 6406.10
step 13333, loss: 4.3502, norm: 1.3374, lr: 0.000250, dt: 2569.45ms, token/sec: 6376.45
step 13334, loss: 4.3676, norm: 1.4310, lr: 0.000250, dt: 2543.31ms, token/sec: 6441.99
step 13335, loss: 4.5625, norm: 1.4888, lr: 0.000250, dt: 2541.05ms, token/sec: 6447.72
step 13336, loss: 4.3781, norm: 1.5196, lr: 0.000250, dt: 2542.27ms, token/sec: 6444.64
step 13337, loss: 4.4106, norm: 1.3908, lr: 0.000250, dt: 2543.85ms, token/sec: 6440.64
step 13338, loss: 4.8684, norm: 2.5884, lr: 0.000250, dt: 2550.00ms, token/sec: 6425.11
step 13339, loss: 4.2130, norm: 1.4797, lr: 0.000250, dt: 2544.12ms, token/sec: 6439.95
step 13340, loss: 4.2572, norm: 1.8633, lr: 0.000250, dt: 2548.45ms, token/sec: 6429.01
step 13341, loss: 4.3143, norm: 1.4698, lr: 0.000250, dt: 2555.29ms, token/sec: 6411.80
step 13342, loss: 4.2976, norm: 1.5089, lr: 0.000249, dt: 2543.38ms, token/sec: 6441.83
step 13343, loss: 4.5873, norm: 1.3958, lr: 0.000249, dt: 2556.28ms, token/sec: 6409.31
step 13344, loss: 4.5909, norm: 1.4332, lr: 0.000249, dt: 2541.83ms, token/sec: 6445.76
step 13345, loss: 4.8374, norm: 1.9754, lr: 0.000249, dt: 2586.75ms, token/sec: 6333.81
step 13346, loss: 4.4910, norm: 1.5203, lr: 0.000249, dt: 2544.60ms, token/sec: 6438.73
step 13347, loss: 4.8132, norm: 1.9069, lr: 0.000249, dt: 2542.00ms, token/sec: 6445.33
step 13348, loss: 4.3819, norm: 1.4426, lr: 0.000249, dt: 2549.01ms, token/sec: 6427.61
step 13349, loss: 4.4554, norm: 1.7347, lr: 0.000249, dt: 2541.44ms, token/sec: 6446.74
step 13350, loss: 4.5525, norm: 1.4056, lr: 0.000249, dt: 2537.50ms, token/sec: 6456.74
step 13351, loss: 4.2563, norm: 1.4658, lr: 0.000249, dt: 2575.20ms, token/sec: 6362.22
step 13352, loss: 4.4114, norm: 1.4782, lr: 0.000249, dt: 2549.37ms, token/sec: 6426.69
step 13353, loss: 4.2639, norm: 1.3171, lr: 0.000249, dt: 2545.09ms, token/sec: 6437.51
step 13354, loss: 4.4266, norm: 1.3706, lr: 0.000249, dt: 2545.49ms, token/sec: 6436.49
step 13355, loss: 4.1666, norm: 1.3306, lr: 0.000249, dt: 2566.34ms, token/sec: 6384.18
step 13356, loss: 4.4578, norm: 1.4620, lr: 0.000249, dt: 2549.56ms, token/sec: 6426.21
step 13357, loss: 4.2130, norm: 1.3447, lr: 0.000249, dt: 2548.61ms, token/sec: 6428.61
step 13358, loss: 4.3622, norm: 1.4629, lr: 0.000249, dt: 2537.57ms, token/sec: 6456.58
step 13359, loss: 4.3975, norm: 1.6419, lr: 0.000249, dt: 2544.71ms, token/sec: 6438.45
step 13360, loss: 4.3245, norm: 1.3502, lr: 0.000249, dt: 2536.73ms, token/sec: 6458.72
step 13361, loss: 4.6745, norm: 1.6131, lr: 0.000249, dt: 2569.24ms, token/sec: 6376.99
step 13362, loss: 4.6129, norm: 1.7857, lr: 0.000249, dt: 2539.24ms, token/sec: 6452.32
step 13363, loss: 4.4519, norm: 1.5948, lr: 0.000249, dt: 2564.98ms, token/sec: 6387.58
step 13364, loss: 4.6460, norm: 1.3409, lr: 0.000249, dt: 2564.84ms, token/sec: 6387.93
step 13365, loss: 4.2710, norm: 1.6203, lr: 0.000249, dt: 2545.69ms, token/sec: 6435.97
step 13366, loss: 4.4953, norm: 1.6015, lr: 0.000249, dt: 2541.93ms, token/sec: 6445.50
step 13367, loss: 4.2611, norm: 1.3365, lr: 0.000249, dt: 2545.14ms, token/sec: 6437.36
step 13368, loss: 4.4333, norm: 1.4099, lr: 0.000249, dt: 2542.11ms, token/sec: 6445.03
step 13369, loss: 4.5244, norm: 1.5772, lr: 0.000248, dt: 2550.47ms, token/sec: 6423.92
step 13370, loss: 4.1570, norm: 1.5662, lr: 0.000248, dt: 2564.28ms, token/sec: 6389.32
step 13371, loss: 4.5287, norm: 1.4536, lr: 0.000248, dt: 2569.38ms, token/sec: 6376.63
step 13372, loss: 4.1978, norm: 1.3263, lr: 0.000248, dt: 2543.14ms, token/sec: 6442.43
step 13373, loss: 4.3967, norm: 1.7684, lr: 0.000248, dt: 2560.12ms, token/sec: 6399.69
step 13374, loss: 4.2866, norm: 1.4938, lr: 0.000248, dt: 2542.76ms, token/sec: 6443.39
step 13375, loss: 4.4894, norm: 1.9307, lr: 0.000248, dt: 2548.29ms, token/sec: 6429.41
